throughput,packet_loss,jitter
104.0,1.3,0.006
102.0,1.9,0.044
104.0,1.4,0.005
103.0,1.9,0.007
102.0,1.9,0.032
103.0,1.7,0.026
104.0,1.6,0.005
103.0,1.5,0.06
104.0,0.92,0.022
103.0,2.3,0.006
104.0,1.1,0.019
102.0,2.2,0.024
103.0,2.2,0.008
102.0,1.8,0.016
104.0,1.2,0.013
103.0,1.9,0.006
103.0,2.0,0.014
104.0,1.2,0.014
102.0,2.5,0.062
104.0,1.3,0.239
103.0,1.8,0.011
103.0,1.9,0.008
102.0,2.2,0.005
104.0,1.1,0.018
103.0,2.2,0.051
104.0,0.8,0.005
103.0,1.5,0.029
103.0,1.3,0.009
102.0,2.2,0.01
103.0,2.0,0.005
101.0,2.7,0.051
103.0,1.8,0.009
104.0,0.92,0.014
103.0,1.5,0.005
103.0,1.5,0.005
103.0,2.1,0.005
103.0,1.5,0.032
104.0,1.1,0.171
103.0,1.3,0.006
104.0,1.3,0.09
104.0,1.2,0.009
103.0,1.5,0.018
103.0,1.7,0.145
102.0,2.4,0.26
103.0,2.0,0.035
104.0,0.86,0.009
103.0,1.5,0.166
103.0,1.5,0.033
103.0,1.6,0.235
103.0,1.8,0.368
103.0,2.2,0.011
102.0,2.3,0.246
103.0,1.4,0.068
103.0,1.7,0.013
103.0,2.0,0.005
104.0,0.84,0.005
104.0,1.1,0.231
104.0,0.73,0.006
102.0,2.3,0.037
104.0,0.75,0.067
103.0,1.5,0.237
103.0,1.6,0.006
104.0,0.94,0.032
103.0,1.5,0.563
103.0,1.3,0.151
103.0,2.3,0.438
104.0,1.2,0.468
102.0,2.4,0.017
103.0,1.2,0.009
103.0,2.1,0.344
103.0,1.8,0.08
103.0,2.2,0.01
103.0,1.9,0.182
51.5,0.95,0.091
51.5,0.95,0.091
0.0,0.0,0.0
60.0,82.0,0.011
103.0,1.0,0.014
104.0,1.6,0.015
104.0,1.3,0.377
104.0,0.35,0.019
105.0,0.21,0.33
103.0,1.5,0.201
105.0,0.13,0.184
103.0,1.5,0.006
103.0,1.6,0.341
104.0,1.1,0.008
104.0,1.0,0.011
103.0,2.0,0.046
102.0,2.3,0.012
104.0,1.0,0.015
102.0,2.8,0.131
102.0,2.0,0.018
103.0,1.9,0.007
103.0,2.2,0.491
103.0,1.5,0.013
104.0,1.7,0.019
104.0,0.96,0.268
104.0,0.54,0.447
103.0,1.6,0.009
103.0,2.0,0.236
104.0,1.1,0.571
103.0,1.9,0.018
103.0,2.2,0.153
103.0,1.6,0.477
103.0,2.4,0.013
102.0,2.0,0.447
104.0,1.5,0.069
102.0,1.9,0.009
103.0,1.8,0.023
102.0,2.6,0.338
69.9,33.0,0.009
38.550000000000004,40.25,0.006749999999999999
38.550000000000004,40.25,0.006749999999999999
7.2,47.5,0.0045
77.5,26.0,0.943
79.1,25.0,0.242
85.6,18.0,0.468
81.6,22.0,0.882
96.6,7.9,0.336
97.1,7.9,0.03
98.4,5.5,0.521
100.0,4.7,0.386
103.0,1.9,0.054
104.0,0.94,0.628
92.9,11.0,0.528
38.6,1.8,0.097
37.3,78.0,0.934
104.0,0.85,0.342
104.0,0.73,0.186
103.0,1.7,0.422
103.0,2.4,0.105
103.0,1.6,0.085
103.0,1.5,0.38
103.0,1.9,0.324
102.0,2.4,0.215
104.0,1.3,0.058
103.0,1.1,0.247
103.0,1.2,0.519
103.0,2.0,0.191
103.0,1.3,0.267
104.0,1.2,0.12
104.0,1.2,0.056
103.0,1.5,0.397
103.0,2.6,0.006
102.0,2.0,0.176
103.0,1.7,0.166
103.0,1.8,0.226
103.0,2.4,0.029
102.0,2.5,0.192
103.0,1.7,0.49
103.0,2.3,0.046
99.5,5.2,0.006
55.025,25.85,0.0695
55.025,25.85,0.0695
10.55,46.5,0.133
104.0,1.1,0.359
103.0,1.9,0.367
102.0,2.3,0.481
102.0,2.9,0.039
103.0,2.3,0.28
103.0,2.1,0.426
104.0,0.86,0.114
102.0,2.0,0.057
104.0,1.2,0.015
103.0,2.2,0.313
103.0,1.3,0.305
102.0,2.8,0.092
103.0,2.0,0.216
104.0,1.1,0.161
103.0,2.0,0.338
102.0,3.1,0.146
103.0,1.8,0.072
104.0,0.86,0.009
102.0,2.7,0.029
103.0,1.0,0.033
104.0,1.5,0.15
103.0,1.7,0.099
103.0,1.4,0.01
103.0,1.5,0.478
103.0,2.1,0.043
103.0,1.6,0.393
104.0,1.3,0.013
102.0,2.2,0.056
101.0,3.4,0.071
102.0,2.1,0.4
103.0,1.8,0.183
102.0,2.1,0.405
103.0,1.6,0.285
103.0,2.2,0.064
104.0,0.91,0.037
103.0,1.7,0.007
103.0,1.3,0.352
103.0,2.1,0.031
102.0,2.2,0.071
103.0,1.5,0.357
104.0,1.7,0.026
101.0,3.6,0.01
103.0,1.1,0.352
105.0,0.61,0.077
105.0,0.26,0.012
104.0,0.034,0.147
105.0,0.2,0.017
103.0,1.1,0.09
104.0,1.1,0.006
104.0,1.1,0.005
104.0,0.83,0.008
103.0,1.1,0.183
104.0,1.4,0.006
102.0,2.6,0.008
103.0,1.9,0.007
102.0,2.0,0.024
104.0,1.6,0.009
103.0,1.4,0.019
104.0,1.3,0.007
103.0,2.3,0.005
103.0,2.2,0.009
104.0,0.73,0.007
103.0,1.8,0.006
100.0,4.2,0.005
103.0,2.1,0.005
101.0,2.0,0.129
104.0,1.9,0.008
103.0,2.2,0.006
103.0,1.7,0.005
102.0,3.0,0.006
102.0,3.0,0.005
101.0,3.2,0.066
103.0,1.6,0.091
105.0,1.4,0.018
103.0,1.5,0.006
103.0,1.2,0.029
103.0,2.6,0.005
103.0,1.8,0.009
102.0,2.0,0.229
104.0,1.3,0.016
103.0,1.1,0.061
103.0,1.9,0.023
104.0,1.3,0.01
103.0,2.2,0.005
102.0,2.2,0.011
103.0,2.0,0.005
103.0,1.4,0.008
103.0,1.8,0.005
103.0,2.0,0.005
102.0,2.0,0.015
103.0,1.7,0.006
102.0,2.7,0.011
102.0,2.3,0.044
104.0,1.7,0.23
104.0,1.1,0.005
103.0,1.4,0.008
104.0,1.0,0.005
103.0,1.4,0.005
103.0,1.7,0.006
103.0,1.3,0.005
102.0,2.6,0.006
104.0,1.2,0.009
103.0,2.1,0.01
102.0,2.3,0.005
101.0,3.6,0.005
102.0,1.6,0.048
104.0,1.8,0.007
102.0,3.0,0.017
101.0,3.1,0.007
104.0,0.83,0.006
103.0,2.2,0.047
101.0,3.0,0.03
104.0,1.4,0.051
100.0,4.2,0.011
104.0,1.6,0.005
104.0,0.87,0.005
103.0,1.7,0.014
104.0,1.2,0.013
103.0,1.1,0.007
102.0,2.8,0.01
103.0,2.7,0.028
103.0,1.8,0.005
103.0,2.2,0.005
103.0,1.5,0.024
103.0,2.4,0.005
102.0,2.8,0.196
103.0,1.9,0.008
104.0,0.93,0.057
103.0,2.2,0.075
103.0,1.7,0.007
103.0,1.5,0.29
104.0,1.2,0.015
104.0,1.2,0.533
102.0,2.3,0.831
102.0,2.2,0.025
102.0,2.2,0.009
102.0,2.6,0.01
102.0,2.3,0.08
103.0,2.0,0.032
103.0,2.0,0.243
103.0,1.8,0.065
104.0,1.0,0.027
104.0,1.1,0.1
102.0,2.4,0.034
105.0,0.71,0.265
105.0,0.0,0.135
105.0,0.0,0.466
105.0,0.21,0.255
103.0,1.1,0.008
103.0,1.5,0.043
102.0,3.0,0.445
104.0,1.3,0.151
104.0,0.99,0.47
103.0,1.3,0.009
104.0,1.7,0.265
101.0,3.4,0.087
102.0,2.8,0.011
103.0,1.7,0.04
102.0,2.3,0.105
103.0,2.4,0.042
102.0,2.6,0.15
104.0,1.4,0.261
104.0,1.2,0.037
104.0,1.2,0.065
104.0,0.19,0.212
105.0,0.12,0.113
105.0,0.58,0.034
104.0,0.43,0.005
103.0,2.2,0.005
103.0,1.6,0.007
103.0,1.3,0.029
103.0,1.3,0.008
103.0,1.6,0.17
103.0,1.4,0.009
103.0,1.7,0.341
104.0,1.1,0.008
103.0,2.3,0.103
101.0,3.3,0.205
104.0,0.93,0.554
102.0,2.8,0.047
102.0,2.6,0.061
102.0,2.0,0.035
103.0,1.4,0.006
103.0,2.0,0.199
104.0,0.62,0.032
104.0,1.4,0.022
103.0,1.7,0.032
103.0,1.1,0.041
103.0,1.9,0.04
103.0,1.8,0.096
104.0,1.1,0.032
104.0,0.66,0.022
102.0,1.9,0.02
103.0,1.8,0.32
103.0,2.3,0.023
104.0,0.43,0.469
104.0,1.4,0.011
103.0,1.3,0.178
103.0,1.9,0.34
103.0,2.3,0.02
104.0,0.56,0.135
104.0,1.0,0.028
103.0,1.5,0.036
102.0,1.9,0.178
103.0,1.6,0.344
104.0,1.6,0.024
103.0,1.7,0.024
102.0,1.9,0.405
104.0,1.6,0.013
101.0,3.1,0.294
104.0,1.6,0.02
103.0,2.3,0.005
103.0,0.99,0.578
104.0,1.4,0.034
102.0,1.9,0.408
104.0,1.1,0.06
104.0,1.0,0.07
105.0,0.71,0.006
102.0,2.3,0.006
103.0,1.0,0.055
104.0,0.93,0.014
103.0,1.7,0.059
103.0,1.5,0.048
101.0,2.9,0.345
102.0,2.9,0.016
104.0,1.3,0.012
101.0,2.9,0.035
102.0,2.9,0.168
104.0,1.1,0.03
104.0,1.2,0.009
103.0,1.8,0.005
101.0,2.6,0.05
103.0,2.0,0.117
104.0,1.7,0.01
103.0,1.0,0.07
103.0,1.7,0.05
105.0,1.2,0.005
101.0,2.7,0.025
104.0,1.6,0.005
103.0,1.7,0.027
103.0,2.2,0.012
104.0,0.4,0.005
103.0,0.63,0.052
103.0,2.1,0.135
104.0,1.5,0.006
102.0,2.6,0.067
103.0,1.6,0.006
103.0,2.3,0.006
101.0,2.4,0.125
104.0,1.9,0.008
103.0,1.3,0.021
103.0,1.9,0.029
103.0,2.3,0.018
103.0,2.0,0.007
101.0,3.3,0.022
103.0,2.3,0.008
103.0,1.9,0.006
104.0,1.3,0.006
102.0,2.6,0.014
104.0,1.7,0.007
102.0,2.5,0.005
102.0,1.3,0.051
103.0,2.2,0.005
102.0,2.9,0.007
